item,url,artist,discount_price,price,is_sold_out,ds,vendor,is_autograph,avg_review_value,number_of_questions,number_of_reviews,presale
DAY6 2nd Album MOONRISE,https://en.thejypshop.com/product/day6-2nd-album-moonrise/675/category/36/display/1/,DAY6,14.82,18.3,False,2022-11-14,jypshop,,,,,
DAY6 1st Album SUNRISE,https://en.thejypshop.com/product/day6-1st-album-sunrise/674/category/36/display/1/,DAY6,14.82,18.3,False,2022-11-14,jypshop,,,,,
DAY6 4th Mini Album Remember Us : Youth Part 2,https://en.thejypshop.com/product/day6-4th-mini-album-remember-us-youth-part-2/673/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14,jypshop,,,,,
DAY6 3rd Mini Album Shoot Me : Youth Part 1,https://en.thejypshop.com/product/day6-3rd-mini-album-shoot-me-youth-part-1/672/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14,jypshop,,,,,
DAY6 2nd Mini Album DAYDREAM,https://en.thejypshop.com/product/day6-2nd-mini-album-daydream/671/category/36/display/1/,DAY6,12.64,15.6,False,2022-11-14,jypshop,,,,,
DAY6 1st Mini Album The DAY,https://en.thejypshop.com/product/day6-1st-mini-album-the-day/670/category/36/display/1/,DAY6,11.91,14.7,True,2022-11-14,jypshop,,,,,
[VIDEO CALL EVENT] Xdinary Heroes 2nd Mini Album Overload,https://en.thejypshop.com/product/video-call-event-xdinary-heroes-2nd-mini-album-overload/993/category/93/display/1/,Xdinary Heroes,16.36,20.2,False,2022-11-14,jypshop,,,,,
[FAN SIGN EVENT] Xdinary Heroes 2nd Mini Album Overload,https://en.thejypshop.com/product/fan-sign-event-xdinary-heroes-2nd-mini-album-overload/992/category/93/display/1/,Xdinary Heroes,16.36,20.2,False,2022-11-14,jypshop,,,,,
"Xdinary Heroes 1st Mini Album HELLO, WORLD!",https://en.thejypshop.com/product/xdinary-heroes-1st-mini-album-hello-world/486/category/93/display/1/,Xdinary Heroes,16.36,20.2,False,2022-11-14,jypshop,,,,,
Xdinary Heroes 2nd Mini Album Overload,https://en.thejypshop.com/product/xdinary-heroes-2nd-mini-album-overload/939/category/93/display/1/,Xdinary Heroes,16.36,20.2,True,2022-11-14,jypshop,,,,,
3rd album Grown [A ver],https://en.thejypshop.com/product/3rd-album-grown-a-ver/241/category/52/display/1/,2PM,14.98,18.5,False,2022-11-14,jypshop,,,,,
3rd album Grown [B ver],https://en.thejypshop.com/product/3rd-album-grown-b-ver/240/category/52/display/1/,2PM,14.98,18.5,False,2022-11-14,jypshop,,,,,
2PM - 5th Album NO.5 (Redesigned),https://en.thejypshop.com/product/2pm-5th-album-no5-redesigned/128/category/52/display/1/,2PM,16.36,20.2,False,2022-11-14,jypshop,,,,,
7th Album MUST,https://en.thejypshop.com/product/7th-album-must/72/category/52/display/1/,2PM,17.82,22.0,False,2022-11-14,jypshop,,,,,
3rd album Grown [Grand Edition],https://en.thejypshop.com/product/3rd-album-grown-grand-edition/239/category/52/display/1/,2PM,34.02,42.0,True,2022-11-14,jypshop,,,,,
4th Album GO CRAZY!,https://en.thejypshop.com/product/4th-album-go-crazy/131/category/52/display/1/,2PM,16.36,20.2,True,2022-11-14,jypshop,,,,,
