item,url,price,is_autograph,vendor,is_sold_out,ds
Pre-Order - KEY The 2nd Album ’Gasoline’ (Booklet Ver.) + SGS Bonus Postcard,https://smglobalshop.com/products/pre-order-key-the-2nd-album-gasoline-booklet-ver,25,False,smglobalshop,True,2022-11-14
aespa Official Fanlight Emblem,https://smglobalshop.com/products/pre-order-aespa-official-fanlight-emblem,15,False,smglobalshop,False,2022-11-14
GIRLS' GENERATION The 7th Album ‘FOREVER 1' (Standard Ver.),https://smglobalshop.com/products/pre-order-girls-generation-the-7th-album-forever-1-standard-ver,23,False,smglobalshop,True,2022-11-14
GIRLS' GENERATION The 7th Album ‘FOREVER 1' (Deluxe Ver.),https://smglobalshop.com/products/pre-order-girls-generation-the-7th-album-forever-1-special-ver,26,False,smglobalshop,True,2022-11-14
Pre-Order - NCT 127 RETRO house Acrylic Keyring,https://smglobalshop.com/products/pre-order-nct-127-retro-house-acrylic-keyring,28,False,smglobalshop,False,2022-11-14
Pre-Order - NCT 127 RETRO house T-Shirts,https://smglobalshop.com/products/pre-order-nct-127-retro-house-t-shirts,55,False,smglobalshop,False,2022-11-14
Pre-Order - NCT 127 RETRO house Sticker Book,https://smglobalshop.com/products/pre-order-nct-127-retro-house-sticker-book,30,False,smglobalshop,False,2022-11-14
Pre-Order - NCT 127 RETRO house Random Pin Button,https://smglobalshop.com/products/pre-order-nct-127-retro-house-random-pin-button,15,False,smglobalshop,False,2022-11-14
Pre-Order - NCT 127 RETRO house Handwriting Phone Case,https://smglobalshop.com/products/pre-order-nct-127-retro-house-handwriting-phone-case,37,False,smglobalshop,True,2022-11-14
Pre-Order - NCT 127 RETRO house Milk Bottle&Coaster,https://smglobalshop.com/products/pre-order-nct-127-retro-house-milk-bottle-coaster,35,False,smglobalshop,True,2022-11-14
Pre-Order - NCT 127 RETRO house Balance Game Pack,https://smglobalshop.com/products/pre-order-nct-127-retro-house-balance-game-pack,26,False,smglobalshop,False,2022-11-14
Pre-Order - NCT 127 RETRO house Hologram Photo Card Set B,https://smglobalshop.com/products/pre-order-nct-127-retro-house-hologram-photo-card-set-b,16,False,smglobalshop,False,2022-11-14
Pre-Order - NCT 127 RETRO house Hologram Photo Card Set A,https://smglobalshop.com/products/pre-order-nct-127-retro-house-hologram-photo-card-set-a,16,False,smglobalshop,False,2022-11-14
Pre-Order - NCT 127 RETRO house Tincase Photo Set,https://smglobalshop.com/products/pre-order-nct-127-retro-house-tincase-photo-set,30,False,smglobalshop,True,2022-11-14
Pre-Order - NCT 127 RETRO house Random OOTD Card Pack,https://smglobalshop.com/products/pre-order-nct-127-retro-house-random-ootd-card-pack,18,False,smglobalshop,True,2022-11-14
aespa Official Fanlight (Lightstick) + SGS Exclusive Random Photo Card,https://smglobalshop.com/products/pre-order-aespa-official-fanlight-lightstick,55,False,smglobalshop,False,2022-11-14
NCT 127 6th Anniversary Acrylic Stand & AR Voice Card Set,https://smglobalshop.com/products/pre-order-nct-127-6th-anniversary-acrylic-stand-ar-voice-card-set,32,False,smglobalshop,False,2022-11-14
aespa The 2nd Mini Album 'Girls' Acrylic Photo Card Stand Deluxe Box,https://smglobalshop.com/products/pre-order-aespa-girls-acrylic-photo-card-stand-deluxe-box,38,False,smglobalshop,True,2022-11-14
Pre-Order - Super Junior The 11th Album Vol.1 ‘The Road : Keep on Going’,https://smglobalshop.com/products/pre-order-super-junior-the-11th-album-vol-1-the-road-keep-on-going,25,False,smglobalshop,True,2022-11-14
NCT DREAM Glitch Mode Pop Up Postcard Book,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-postcard-book,15,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up Binder+Photo Card Set,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-binder-photo-card-set,28,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up Postcard+Hologram Photo Card Set,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-postcard-hologram-photo-card-set,16,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up Film Set,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-film-set,12,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up A4 Photo,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-a4-photo,18,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up Hologram Film Set,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-hologram-film-set,15,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up Postcard,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-postcard,12,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up Postcard Group,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-postcard-group,12,False,smglobalshop,False,2022-11-14
