item,url,artist,discount_price,price,sold_out,ds
"[VIDEO CALL EVENT] Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",/product/video-call-event-stray-kids-mini-album-maxident-t-crush-ver-heart-ver/839/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14
"[FAN SIGN EVENT] Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",/product/fan-sign-event-stray-kids-mini-album-maxident-t-crush-ver-heart-ver/838/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14
Stray Kids Mini Album MAXIDENT (GO ver.),/product/stray-kids-mini-album-maxident-go-ver/738/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14
Special Album 77-1X3-00,/product/special-album-77-1x3-00/118/category/421/display/1/,JUN. K,14.82,18.3,False,2022-11-14
2nd Mini Album My 20's,/product/2nd-mini-album-my-20s/113/category/421/display/1/,JUN. K,16.36,20.2,False,2022-11-14
1st Mini Album Mr. NO♡,/product/1st-mini-album-mr-no/124/category/421/display/1/,JUN. K,13.36,16.5,True,2022-11-14
3rd Mini Album 20mins,/product/3rd-mini-album-20mins/87/category/421/display/1/,JUN. K,16.36,20.2,True,2022-11-14
Love & Hate,/product/love-hate/133/category/421/display/1/,JUN. K,11.91,14.7,True,2022-11-14
1st Mini Album ME,/product/1st-mini-album-me/101/category/444/display/1/,NICHKHUN,17.82,22.0,True,2022-11-14
R.O.S.E,/product/rose/129/category/449/display/1/,WOOYOUNG,11.91,14.7,True,2022-11-14
2nd Mini Album BYE,/product/2nd-mini-album-bye/110/category/449/display/1/,WOOYOUNG,16.36,20.2,True,2022-11-14
1st Album FEEL,/product/1st-album-feel/132/category/463/display/1/,JUNHO,13.36,16.5,False,2022-11-14
Best Album One,/product/best-album-one/127/category/463/display/1/,JUNHO,14.82,18.3,False,2022-11-14
1st Mini Album CANVAS,/product/1st-mini-album-canvas/115/category/463/display/1/,JUNHO,14.82,18.3,False,2022-11-14
Album TWO,/product/album-two/102/category/463/display/1/,JUNHO,15.63,19.3,False,2022-11-14
TWICE IMAGE PICKET - TWICE 7TH ANNIVERSARY,/product/twice-image-picket-twice-7th-anniversary/935/category/293/display/1/,TWICE,0.0,9.0,False,2022-11-14
TWICE PAPER AIR FRESHENER  - TWICE 7TH ANNIVERSARY,/product/twice-paper-air-freshener-twice-7th-anniversary/929/category/293/display/1/,TWICE,0.0,9.0,False,2022-11-14
NAYEON ACRYLIC RING - IM NAYEON,/product/nayeon-acrylic-ring-im-nayeon/527/category/293/display/1/,TWICE,0.0,25.0,False,2022-11-14
NAYEON FABRIC POSTER CALENDAR - IM NAYEON,/product/nayeon-fabric-poster-calendar-im-nayeon/524/category/293/display/1/,TWICE,0.0,18.0,False,2022-11-14
NAYEON DECO STICKER PACK - IM NAYEON,/product/nayeon-deco-sticker-pack-im-nayeon/523/category/293/display/1/,TWICE,0.0,12.0,False,2022-11-14
NAYEON T-SHIRT - IM NAYEON,/product/nayeon-t-shirt-im-nayeon/519/category/293/display/1/,TWICE,0.0,38.0,False,2022-11-14
LOVELY ACRYLIC MINI PENDANT - TWICE 7TH ANNIVERSARY,/product/lovely-acrylic-mini-pendant-twice-7th-anniversary/938/category/293/display/1/,LOVELY,0.0,12.0,True,2022-11-14
LOVELY MINI PHOTO FRAME KEYRING - TWICE 7TH ANNIVERSARY,/product/lovely-mini-photo-frame-keyring-twice-7th-anniversary/937/category/293/display/1/,LOVELY,0.0,20.0,True,2022-11-14
LOVELY 4CUTS PHOTO HOLDER - TWICE 7TH ANNIVERSARY,/product/lovely-4cuts-photo-holder-twice-7th-anniversary/936/category/293/display/1/,LOVELY,0.0,17.0,True,2022-11-14
TWICE EXHIBITION STAMP STICKER - TWICE 7TH ANNIVERSARY,/product/twice-exhibition-stamp-sticker-twice-7th-anniversary/934/category/293/display/1/,TWICE,0.0,18.0,True,2022-11-14
TWICE ARCRYLIC PHOTO CASE - TWICE 7TH ANNIVERSARY,/product/twice-arcrylic-photo-case-twice-7th-anniversary/933/category/293/display/1/,TWICE,0.0,19.0,True,2022-11-14
TWICE BINDER BOOK  - TWICE 7TH ANNIVERSARY,/product/twice-binder-book-twice-7th-anniversary/932/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14
TWICE TWICEZINE  - TWICE 7TH ANNIVERSARY,/product/twice-twicezine-twice-7th-anniversary/931/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14
TWICE TRADING CARD - TWICE 7TH ANNIVERSARY,/product/twice-trading-card-twice-7th-anniversary/930/category/293/display/1/,TWICE,0.0,6.0,True,2022-11-14
EXHIBITION PHOTO SET - TWICE 7TH ANNIVERSARY,/product/exhibition-photo-set-twice-7th-anniversary/928/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14
TWICE POSTCARD SET - TWICE 7TH ANNIVERSARY,/product/twice-postcard-set-twice-7th-anniversary/927/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14
TWICE CARD WALLET - TWICE 7TH ANNIVERSARY,/product/twice-card-wallet-twice-7th-anniversary/926/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14
TWICE BALL CAP - TWICE 7TH ANNIVERSARY,/product/twice-ball-cap-twice-7th-anniversary/925/category/293/display/1/,TWICE,0.0,32.0,True,2022-11-14
TWICE LEATHER BRACELET - TWICE 7TH ANNIVERSARY,/product/twice-leather-bracelet-twice-7th-anniversary/924/category/293/display/1/,TWICE,0.0,28.0,True,2022-11-14
TWICE BETWEEN 1&2 BADGE - TWICE 7TH ANNIVERSARY,/product/twice-between-12-badge-twice-7th-anniversary/923/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14
TWICE TOGETHER 1&2 BADGE -  TWICE 7TH ANNIVERSARY,/product/twice-together-12-badge-twice-7th-anniversary/922/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14
TWICE HOOD ZIP UP - TWICE 7TH ANNIVERSARY,/product/twice-hood-zip-up-twice-7th-anniversary/921/category/293/display/1/,TWICE,0.0,68.0,True,2022-11-14
TWICE ECO BAG -  TWICE 7TH ANNIVERSARY,/product/twice-eco-bag-twice-7th-anniversary/920/category/293/display/1/,TWICE,0.0,28.0,True,2022-11-14
CHAEYOUNG BUCKET HAT - TWICE 7TH ANNIVERSARY,/product/chaeyoung-bucket-hat-twice-7th-anniversary/918/category/293/display/1/,TWICE,0.0,37.0,True,2022-11-14
DAHYUN DUB MAT -  TWICE 7TH ANNIVERSARY,/product/dahyun-dub-mat-twice-7th-anniversary/917/category/293/display/1/,TWICE,0.0,32.0,True,2022-11-14
MINA CHECKED SHIRT - TWICE 7TH ANNIVERSARY,/product/mina-checked-shirt-twice-7th-anniversary/916/category/293/display/1/,TWICE,0.0,78.0,True,2022-11-14
JIHYO PADDED SCARF -  TWICE 7TH ANNIVERSARY,/product/jihyo-padded-scarf-twice-7th-anniversary/915/category/293/display/1/,TWICE,0.0,45.0,True,2022-11-14
SANA POUCH - TWICE 7TH ANNIVERSARY,/product/sana-pouch-twice-7th-anniversary/914/category/293/display/1/,TWICE,0.0,35.0,True,2022-11-14
MOMO BEER CUP - TWICE 7TH ANNIVERSARY,/product/momo-beer-cup-twice-7th-anniversary/913/category/293/display/1/,TWICE,0.0,25.0,True,2022-11-14
JEONGYEON STRESS BALL - TWICE 7TH ANNIVERSARY,/product/jeongyeon-stress-ball-twice-7th-anniversary/912/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14
NAYEON BLANKET - TWICE 7TH ANNIVERSARY,/product/nayeon-blanket-twice-7th-anniversary/911/category/293/display/1/,TWICE,0.0,45.0,True,2022-11-14
NAYEON REUSABLE CUP - IM NAYEON,/product/nayeon-reusable-cup-im-nayeon/526/category/293/display/1/,TWICE,0.0,13.0,True,2022-11-14
NAYEON LANYARD - IM NAYEON,/product/nayeon-lanyard-im-nayeon/525/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14
NAYEON COLLECT BOOK - IM NAYEON,/product/nayeon-collect-book-im-nayeon/522/category/293/display/1/,TWICE,0.0,28.0,True,2022-11-14
NAYEON ACRYLIC KIT - IM NAYEON,/product/nayeon-acrylic-kit-im-nayeon/521/category/293/display/1/,TWICE,0.0,35.0,True,2022-11-14
NAYEON PORTRAIT T-SHIRT - IM NAYEON,/product/nayeon-portrait-t-shirt-im-nayeon/520/category/293/display/1/,TWICE,0.0,48.0,True,2022-11-14
NAYEON ALBUM BADGE - IM NAYEON,/product/nayeon-album-badge-im-nayeon/517/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14
TWICE GREEN PROJECT,/product/twice-green-project/251/category/293/display/1/,TWICE,0.0,25.0,True,2022-11-14
ITZY GREEN PROJECT,/product/itzy-green-project/253/category/241/display/1/,ITZY,0.0,25.0,True,2022-11-14
NMIXX MIXXPEDIA: PICK LA,/product/nmixx-mixxpedia-pick-la/532/category/207/display/1/,NMIXX,0.0,45.0,False,2022-11-14
NMIXX GREEN PROJECT,/product/nmixx-green-project/255/category/207/display/1/,NMIXX,0.0,25.0,True,2022-11-14
DAY6 (Even of Day) DENIMALZ MINI TOWEL - 해변의 달링,/product/day6-even-of-day-denimalz-mini-towel-해변의-달링/736/category/167/display/1/,DAY6 (Even of Day),0.0,13.0,False,2022-11-14
DAY6 (Even of Day) DENIMALZ ACRYLIC CLIP - 해변의 달링,/product/day6-even-of-day-denimalz-acrylic-clip-해변의-달링/735/category/167/display/1/,DAY6 (Even of Day),0.0,12.0,False,2022-11-14
DAY6 (Even of Day) PHOTOCARD DECO SET - 해변의 달링,/product/day6-even-of-day-photocard-deco-set-해변의-달링/734/category/167/display/1/,DAY6 (Even of Day),0.0,19.0,True,2022-11-14
DAY6 (Even of Day) 4 CUTS PHOTO SET - 해변의 달링,/product/day6-even-of-day-4-cuts-photo-set-해변의-달링/733/category/167/display/1/,DAY6 (Even of Day),0.0,12.0,False,2022-11-14
DAY6 (Even of Day) STICKER BOOK - 해변의 달링,/product/day6-even-of-day-sticker-book-해변의-달링/732/category/167/display/1/,DAY6 (Even of Day),0.0,16.0,False,2022-11-14
"Xdinary Heroes STICKER SET - Hello, World!",/product/xdinary-heroes-sticker-set-hello-world/598/category/260/display/1/,Xdinary Heroes,0.0,13.0,True,2022-11-14
"Xdinary Heroes PHOTOCARD HOLDER & PHOTOCARD SET  - Hello, World!",/product/xdinary-heroes-photocard-holder-photocard-set-hello-world/597/category/260/display/1/,Xdinary Heroes,0.0,23.0,True,2022-11-14
"Xdinary Heroes PHONE TAB & STRAP SET - Hello, World!",/product/xdinary-heroes-phone-tab-strap-set-hello-world/596/category/260/display/1/,Xdinary Heroes,0.0,19.0,True,2022-11-14
"Xdinary Heroes ID PHOTO SET  - Hello, World!",/product/xdinary-heroes-id-photo-set-hello-world/595/category/260/display/1/,Xdinary Heroes,0.0,7.0,True,2022-11-14
"Xdinary Heroes SIGNATURE BADGE SET - Hello, World!",/product/xdinary-heroes-signature-badge-set-hello-world/594/category/260/display/1/,Xdinary Heroes,0.0,19.0,True,2022-11-14
"Xdinary Heroes T-Shirt - Hello, World!",/product/xdinary-heroes-t-shirt-hello-world/593/category/260/display/1/,Xdinary Heroes,0.0,36.0,True,2022-11-14
"Xdinary Heroes BEHIND PHOTOBOOK SET - Hello, World!",/product/xdinary-heroes-behind-photobook-set-hello-world/592/category/260/display/1/,Xdinary Heroes,0.0,26.0,True,2022-11-14
Xdinary Heroes GREEN PROJECT,/product/xdinary-heroes-green-project/254/category/260/display/1/,Xdinary Heroes,0.0,25.0,True,2022-11-14
Stray Kids GREEN PROJECT,/product/stray-kids-green-project/252/category/254/display/1/,Stray Kids,0.0,25.0,True,2022-11-14
CANDYBONG Z,/product/candybong-z/134/category/289/display/1/,TWICE,0.0,36.0,False,2022-11-14
OFFICIAL LIGHT STICK,/product/official-light-stick/159/category/88/display/1/,2PM,0.0,38.0,True,2022-11-14
DAY6 OFFICIAL LIGHT BAND,/product/day6-official-light-band/711/category/89/display/1/,DAY6,0.0,33.0,True,2022-11-14
OFFICIAL LIGHT STICK,/product/official-light-stick/135/category/251/display/1/,Stray Kids,0.0,38.0,True,2022-11-14
OFFICIAL LIGHT RING,/product/official-light-ring/160/category/238/display/1/,ITZY,0.0,39.0,True,2022-11-14
ACRYLIC LIGHT STICK,/product/acrylic-light-stick/485/category/94/display/1/,NMIXX,0.0,18.0,True,2022-11-14
2PM Light Stick Lee Junho Name Sheet - 'Before Midnight',/product/2pm-light-stick-lee-junho-name-sheet-before-midnight/551/category/460/display/1/,JUNHO,0.0,5.0,True,2022-11-14
2PM OFFICIAL LIGHT STICK - 'Before Midnight',/product/2pm-official-light-stick-before-midnight/550/category/460/display/1/,JUNHO,0.0,38.0,True,2022-11-14
THE HOTTEST ORIGIN : MUST MAKING BOOK,/product/the-hottest-origin-must-making-book/161/category/53/display/1/,2PM,0.0,45.0,True,2022-11-14
Beyond LIVE - TWICE : World in A Day PHOTOBOOK,/product/beyond-live-twice-world-in-a-day-photobook/162/category/57/display/1/,TWICE,0.0,35.0,False,2022-11-14
4th WORLD TOUR Ⅲ IN SEOUL BLU-RAY,/product/4th-world-tour-in-seoul-blu-ray/174/category/57/display/1/,TWICE,0.0,59.0,True,2022-11-14
4th WORLD TOUR Ⅲ IN SEOUL DVD,/product/4th-world-tour-in-seoul-dvd/173/category/57/display/1/,TWICE,0.0,49.0,True,2022-11-14
World Tour 'District 9 : Unlock' in SEOUL BLU-RAY,/product/world-tour-district-9-unlock-in-seoul-blu-ray/164/category/60/display/1/,Stray Kids,0.0,55.0,True,2022-11-14
World Tour 'District 9 : Unlock' in SEOUL DVD,/product/world-tour-district-9-unlock-in-seoul-dvd/163/category/60/display/1/,Stray Kids,0.0,42.0,True,2022-11-14
