item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
DEF. - [ABANDONED LOVE.] 2nd EP Album,https://www.kpopalbums.com/collections/lastest-release/products/def-abandoned-love-2nd-ep-album,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
MOON BIN (ASTRO) - [MAGAZINE] 2022 Official Photo Book,https://www.kpopalbums.com/collections/lastest-release/products/moon-bin-astro-magazine-2022-official-photo-book,44.45,49.39,False,4.00,0,1,kpopalbums,True,2022-11-14
MOONBIN & SANHA (ASTRO) - [MAGAZINE] 2022 Official Photo Book SET,https://www.kpopalbums.com/collections/lastest-release/products/moonbin-sanha-astro-magazine-2022-official-photo-book-set,88.90,98.78,False,0.00,0,0,kpopalbums,False,2022-11-14
YOON SAN-HA (ASTRO) - [MAGAZINE]  2022 Official Photo Book,https://www.kpopalbums.com/collections/lastest-release/products/yoon-san-ha-astro-magazine-2022-official-photo-book,44.45,49.39,False,0.00,0,0,kpopalbums,False,2022-11-14
YUN DDAN DDAN - [TO ONE'S OLD LOVE] 1st Album,https://www.kpopalbums.com/collections/lastest-release/products/yun-ddan-ddan-to-one-s-old-love-1st-album,19.20,22.59,False,0.00,0,0,kpopalbums,True,2022-11-14
9001 (NINETY O ONE) - [MANNEQUIN] 7th Single Album,https://www.kpopalbums.com/collections/lastest-release/products/9001-ninety-o-one-mannequin-7th-single-album,15.84,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
JANE POP - [MIDNIGHT MUSIC VOL.1] Nemo Album FULL Version,https://www.kpopalbums.com/collections/lastest-release/products/jane-pop-midnight-music-vol-1-nemo-album-full-version,11.89,13.99,False,0.00,0,0,kpopalbums,False,2022-11-14
TFN - [BEFORE SUNRISE Part. 4] POCA Album,https://www.kpopalbums.com/collections/lastest-release/products/tfn-before-sunrise-part-4-poca-album,10.56,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
EXO - [EXO's Travel the World on a Ladder - in Namhae] Photo Story Book D.O. Version,https://www.kpopalbums.com/collections/lastest-release/products/exo-exo-s-travel-the-world-on-a-ladder-in-namhae-photo-story-book-d-o-version,24.73,27.48,False,0.00,0,0,kpopalbums,True,2022-11-14
EXO - [EXO's Travel the World on a Ladder - in Namhae] Photo Story Book KAI Version,https://www.kpopalbums.com/collections/lastest-release/products/exo-exo-s-travel-the-world-on-a-ladder-in-namhae-photo-story-book-kai-version,24.73,27.48,False,0.00,0,0,kpopalbums,True,2022-11-14
EXO - [EXO's Travel the World on a Ladder - in Namhae] Photo Story Book SEHUN Version,https://www.kpopalbums.com/collections/lastest-release/products/exo-exo-s-travel-the-world-on-a-ladder-in-namhae-photo-story-book-sehun-version,24.73,27.48,False,0.00,0,0,kpopalbums,True,2022-11-14
EXO - [EXO's Travel the World on a Ladder - in Namhae] Photo Story Book SUHO Version,https://www.kpopalbums.com/collections/lastest-release/products/exo-exo-s-travel-the-world-on-a-ladder-in-namhae-photo-story-book-suho-version,24.73,27.48,False,0.00,0,0,kpopalbums,True,2022-11-14
EXO - [EXO's Travel the World on a Ladder - in Namhae] Photo Story Book XIUMIN Version,https://www.kpopalbums.com/collections/lastest-release/products/exo-exo-s-travel-the-world-on-a-ladder-in-namhae-photo-story-book-xiumin-version,24.73,27.48,False,0.00,0,0,kpopalbums,True,2022-11-14
HWAJA - [PLAYGROUND] 1st Album,https://www.kpopalbums.com/collections/lastest-release/products/hwaja-playground-1st-album,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
[THE LAW CAFE] KBS Drama OST,https://www.kpopalbums.com/collections/lastest-release/products/the-law-cafe-kbs-drama-ost,21.04,23.38,False,0.00,0,0,kpopalbums,False,2022-11-14
SUNWOOJUNGA - [Studio X {1. Phase}] EP Albums,https://www.kpopalbums.com/collections/lastest-release/products/sunwoojunga-studio-x-1-phase-ep-albums,20.35,23.94,False,0.00,0,0,kpopalbums,False,2022-11-14
YOUNITE - [YOUNI-ON] 3rd EP Album DIGIPACK Version,https://www.kpopalbums.com/collections/lastest-release/products/younite-youni-on-3rd-ep-album-digipack-version,9.79,11.52,False,0.00,0,0,kpopalbums,False,2022-11-14
YOUNITE - [YOUNI-ON] 3rd EP Album POCA Version,https://www.kpopalbums.com/collections/lastest-release/products/younite-youni-on-3rd-ep-album-poca-version,10.56,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
YOUNITE - [YOUNI-ON] 3rd EP Album Photo Book 2 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/younite-youni-on-3rd-ep-album-photo-book-2-version-set,30.88,36.33,False,0.00,0,0,kpopalbums,False,2022-11-14
YOUNITE - [YOUNI-ON] 3rd EP Album Photo Book BLACK ON Version,https://www.kpopalbums.com/collections/lastest-release/products/younite-youni-on-3rd-ep-album-photo-book-black-on-version,15.84,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
YOUNITE - [YOUNI-ON] 3rd EP Album Photo Book RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/younite-youni-on-3rd-ep-album-photo-book-random-version,15.04,17.70,False,0.00,0,0,kpopalbums,False,2022-11-14
YOUNITE - [YOUNI-ON] 3rd EP Album Photo Book RED ON Version,https://www.kpopalbums.com/collections/lastest-release/products/younite-youni-on-3rd-ep-album-photo-book-red-on-version,15.84,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
Golden Child - [THE] 2022 GOLDEN CHILD 1st Photo Book,https://www.kpopalbums.com/collections/lastest-release/products/golden-child-the-2022-golden-child-1st-photo-book,48.73,54.15,False,0.00,0,0,kpopalbums,True,2022-11-14
MONSTA X - [MX AGENT] 2022 MONSTA X 6th Official Fanclub MONBEBE Fan-concert BLU-RAY,https://www.kpopalbums.com/collections/lastest-release/products/monsta-x-mx-agent-2022-monsta-x-6th-official-fanclub-monbebe-fan-concert-blu-ray,63.13,74.27,False,0.00,0,0,kpopalbums,False,2022-11-14
WJSN - [Daily WJSN] WJSN 2022 Photo Book FILM MINI BOOK Version,https://www.kpopalbums.com/collections/lastest-release/products/wjsn-daily-wjsn-wjsn-2022-photo-book-film-mini-book-version,23.27,25.85,False,0.00,0,0,kpopalbums,True,2022-11-14
WJSN - [Daily WJSN] WJSN 2022 Photo Book PHOTO BOOK + FILM MINI BOOK SET,https://www.kpopalbums.com/collections/lastest-release/products/wjsn-daily-wjsn-wjsn-2022-photo-book-photo-book-film-mini-book-set,69.74,77.49,False,0.00,0,0,kpopalbums,True,2022-11-14
WJSN - [Daily WJSN] WJSN 2022 Photo Book PHOTO BOOK Version,https://www.kpopalbums.com/collections/lastest-release/products/wjsn-daily-wjsn-wjsn-2022-photo-book-photo-book-version,47.64,52.93,False,0.00,0,0,kpopalbums,True,2022-11-14
SURL - [of us] 1st Album,https://www.kpopalbums.com/collections/lastest-release/products/surl-of-us-1st-album,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
ALICE - [DANCE ON],https://www.kpopalbums.com/collections/lastest-release/products/alice-dance-on,14.78,17.39,False,5.00,0,2,kpopalbums,False,2022-11-14
ARO - [Always] 1st EP Album,https://www.kpopalbums.com/collections/lastest-release/products/aro-always-1st-ep-album,12.57,14.79,False,0.00,0,0,kpopalbums,True,2022-11-14
ATBO - [The Beginning : 始作] 2nd Mini PLATFORM Album MIND Version,https://www.kpopalbums.com/collections/lastest-release/products/atbo-the-beginning-2nd-mini-platform-album-mind-version,11.23,13.21,False,0.00,0,0,kpopalbums,False,2022-11-14
EPEX - [Prelude of Love Chapter 1. Puppy Love] 4th EP Album 2 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/epex-prelude-of-love-chapter-1-puppy-love-4th-ep-album-2-version-set,28.45,33.47,False,0.00,0,0,kpopalbums,False,2022-11-14
EPEX - [Prelude of Love Chapter 1. Puppy Love] 4th EP Album LOVE Version,https://www.kpopalbums.com/collections/lastest-release/products/epex-prelude-of-love-chapter-1-puppy-love-4th-ep-album-love-version,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
