,item,url,artist,discount_price,price,sold_out,ds
69,ITZY GREEN PROJECT,/product/itzy-green-project/253/category/241/display/1/,ITZY,0.0,25.0,False,2022-10-24
70,NMIXX 2nd Single ENTWURF (Jewel Case Ver.),/product/nmixx-2nd-single-entwurf-jewel-case-ver/757/category/68/display/1/,NMIXX,8.91,11.0,False,2022-10-24
71,NMIXX 2nd Single ENTWURF,/product/nmixx-2nd-single-entwurf/657/category/68/display/1/,NMIXX,13.36,16.5,False,2022-10-24
72,NMIXX 2nd Single ENTWURF (Limited Ver.),/product/nmixx-2nd-single-entwurf-limited-ver/656/category/68/display/1/,NMIXX,20.09,24.8,False,2022-10-24
73,1st Single AD MARE (Light Ver.),/product/1st-single-ad-mare-light-ver/62/category/68/display/1/,NMIXX,10.37,12.8,False,2022-10-24
74,[Show Case] NMIXX 2nd Single ENTWURF (Limited Ver.),/product/show-case-nmixx-2nd-single-entwurf-limited-ver/681/category/68/display/1/,NMIXX,20.09,24.8,False,2022-10-24
75,1st Single AD MARE,/product/1st-single-ad-mare/71/category/68/display/1/,NMIXX,20.01,24.7,False,2022-10-24
76,NMIXX MIXXPEDIA: PICK LA,/product/nmixx-mixxpedia-pick-la/532/category/207/display/1/,NMIXX,0.0,45.0,False,2022-10-24
77,NMIXX GREEN PROJECT,/product/nmixx-green-project/255/category/207/display/1/,NMIXX,0.0,25.0,False,2022-10-24
78,DAY6 1st Album SUNRISE(LP),/product/day6-1st-album-sunriselp/703/category/36/display/1/,DAY6,84.97,104.9,False,2022-10-24
79,DAY6 2nd Album MOONRISE (LP),/product/day6-2nd-album-moonrise-lp/702/category/36/display/1/,DAY6,84.97,104.9,False,2022-10-24
80,DAY6(The Book of Us) Mini 6th Album : The Demon,/product/day6the-book-of-us-mini-6th-album-the-demon/701/category/36/display/1/,DAY6,14.09,17.4,False,2022-10-24
81,DAY6(The Book of Us) :Gluon-Nothing can tear us apart,/product/day6the-book-of-us-gluon-nothing-can-tear-us-apart/700/category/36/display/1/,DAY6,13.36,16.5,False,2022-10-24
82,DAY6(The Book of Us) : Negentropy -Chaos swallowed up in love,/product/day6the-book-of-us-negentropy-chaos-swallowed-up-in-love/699/category/36/display/1/,DAY6,13.36,16.5,False,2022-10-24
83,DAY6(Even of Day) : Right Through Me,/product/day6even-of-day-right-through-me/698/category/36/display/1/,DAY6,13.36,16.5,False,2022-10-24
84,Young K 1st Mini Album : Eternal,/product/young-k-1st-mini-album-eternal/697/category/36/display/1/,Young K(DAY6),14.09,17.4,False,2022-10-24
85,WONPIL(DAY6) : Pilmography,/product/wonpilday6-pilmography/696/category/36/display/1/,WONPIL(DAY6),14.82,18.3,False,2022-10-24
