item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
NCT 2018 - [NCT 2018 EMPATHY] Album 2 Version SET,https://www.kpopalbums.com/collections/restocked/products/nct-2018-nct2018-album-2-ver-set-cd-booklet-photocard-k-pop-sealed-sm-ent-nct2018-nct2018-2-ver-set,26.78,33.47,False,5.00,0,2,kpopalbums,False,2022-11-14
NCT 2018 - [NCT 2018 EMPATHY] Album DREAM Version,https://www.kpopalbums.com/collections/restocked/products/nct-2018-nct-2018-empathy-album-dream-version,13.73,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
NCT 2018 - [NCT 2018 EMPATHY] Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/nct-2018-nct2018-album-random-ver-cd-booklet-photocard-k-pop-sealed-sm-ent-nct2018-nct2018-random,13.05,16.31,False,4.75,0,61,kpopalbums,False,2022-11-14
NCT 2018 - [NCT 2018 EMPATHY] Album REALITY Version,https://www.kpopalbums.com/collections/restocked/products/nct-2018-nct-2018-empathy-album-reality-version,13.73,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
NCT Dream - [Reload] New Album 2 Version SET,https://www.kpopalbums.com/collections/restocked/products/nct-dream-reload-new-album-2-version-set-cd-1p-folding-poster-on-pack-72p-booklet-1p-photocard-1p-circle-card-message-photocard-set-tracking-kpop-sealed-nct-dream-reload-set-c,28.45,33.47,False,,,,kpopalbums,False,2022-11-14
NCT Dream - [Reload] New Album KIHNO KIT,https://www.kpopalbums.com/collections/restocked/products/nct-dream-reload-kit-album-air-kit-folding-photo-1p-photocard-message-photocard-set-tracking-kpop-sealed-nct-dream-reload-kit-c,16.17,20.21,False,,,,kpopalbums,False,2022-11-14
NCT Dream - [Reload] New Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/nct-dream-reload-new-album-cd-booklet-photocard-message-photocard-set-tracking-kpop-sealed-nct-dream-reload-ran-c,13.86,16.31,False,5.00,0,2,kpopalbums,False,2022-11-14
NCT Dream - [Reload] New Album RIDIN' Version,https://www.kpopalbums.com/collections/restocked/products/nct-dream-reload-new-album-ridin-version-cd-1p-folding-poster-on-pack-72p-booklet-1p-photocard-1p-circle-card-message-photocard-set-tracking-kpop-sealed-nct-dream-reload-ridin-black-c,14.59,17.16,False,4.00,0,1,kpopalbums,False,2022-11-14
NCT Dream - [Reload] New Album ROLLIN' Version,https://www.kpopalbums.com/collections/restocked/products/nct-dream-reload-new-album-rollin-version-cd-1p-folding-poster-on-pack-72p-booklet-1p-photocard-1p-circle-card-message-photocard-set-tracking-kpop-sealed-nct-dream-reload-rollin-blue-c,14.59,17.16,False,5.00,0,2,kpopalbums,False,2022-11-14
NCT DREAM - [THE FIRST] 1st Single Album,https://www.kpopalbums.com/collections/restocked/products/nct-dream-the-first-1st-single-album-cd-photobook-photocard-k-pop-sealed-nct-dream-the-first-1st-single-album,8.76,10.95,False,4.64,0,28,kpopalbums,False,2022-11-14
NCT Dream - [We Boom] 3rd Mini Album KIHNO KIT,https://www.kpopalbums.com/collections/restocked/products/nct-dream-we-boom-3rd-mini-album-kihno-edition-muz-kit-1p-folding-photo-1p-photocard-message-photocard-set-tracking-kpop-sealed-nct-dream-we-boom-kihno-c,13.04,18.63,False,,,,kpopalbums,False,2022-11-14
NCT Dream - [We Go Up] 2nd Mini Album,https://www.kpopalbums.com/collections/restocked/products/nct-dream-we-go-up-2nd-mini-album-cd-booklet-card-sticker-pre-order-item-k-pop-sealed-nct-dream-we-go-up,11.89,13.99,False,4.44,0,16,kpopalbums,False,2022-11-14
NCT Dream - [We Young] 1st Mini Album,https://www.kpopalbums.com/collections/restocked/products/nct-dream-we-young-1st-mini-album-cd-photobook-photocard-k-pop-sealed-nctdream-nct-dream-we-young-1st-mini,9.79,13.99,False,4.93,0,27,kpopalbums,False,2022-11-14
