item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
엑스원 | X1 OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/x1-premier-show-con-official-goods-light-stick,26.99,False,5.00,0,4,musicplaza,False,2022-11-15
엑소 | EXO OFFICIAL LIGHT STICK MINI KEYRING BLACK VERSION,https://www.musicplaza.com/collections/light-sticks/products/exo124,26.99,False,5.00,0,5,musicplaza,False,2022-11-15
크래비티 | CRAVITY OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%ED%81%AC%EB%9E%98%EB%B9%84%ED%8B%B0-cravity-official-light-stick,59.99,False,5.00,0,5,musicplaza,False,2022-11-15
오마이걸 | OH MY GIRL OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/oh-my-girl-%EC%98%A4%EB%A7%88%EC%9D%B4%EA%B1%B8-official-light-stick,52.99,False,5.00,0,9,musicplaza,True,2022-11-15
뉴이스트 | NU'EST OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/nuest-official-light-stick,49.99,False,4.89,0,9,musicplaza,True,2022-11-15
빅톤 | VICTON OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/vicl,54.99,False,5.00,0,8,musicplaza,True,2022-11-15
레드벨벳 | RED VELVET OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/%EB%A0%88%EB%93%9C%EB%B2%A8%EB%B2%B3-%EB%AF%B8%EB%8B%88-%EC%9D%91%EC%9B%90%EB%B4%89-%ED%82%A4%EB%A7%81-red-velvet-mini-fanlight-keyring,27.99,False,5.00,0,6,musicplaza,True,2022-11-15
에스에프나인 | SF9 OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/sf9-official-light-stick-ver-2,59.99,False,5.00,0,4,musicplaza,False,2022-11-15
씨아이엑스 | CIX OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/cix-official-light-stick,49.99,False,5.00,0,14,musicplaza,True,2022-11-15
투마로바이투게더 | TXT OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/txt-official-mini-light-stick-keyring,27.99,False,5.00,0,2,musicplaza,False,2022-11-15
