,item,url,artist,discount_price,price,sold_out,ds
60,3rd album Grown [B ver],/product/3rd-album-grown-b-ver/240/category/52/display/1/,2PM,14.98,18.5,False,2022-11-14
61,2PM - 5th Album NO.5 (Redesigned),/product/2pm-5th-album-no5-redesigned/128/category/52/display/1/,2PM,16.36,20.2,False,2022-11-14
62,7th Album MUST,/product/7th-album-must/72/category/52/display/1/,2PM,17.82,22.0,False,2022-11-14
63,3rd album Grown [Grand Edition],/product/3rd-album-grown-grand-edition/239/category/52/display/1/,2PM,34.02,42.0,True,2022-11-14
64,4th Album GO CRAZY!,/product/4th-album-go-crazy/131/category/52/display/1/,2PM,16.36,20.2,True,2022-11-14
65,6th Album GENTLEMEN’S GAME,/product/6th-album-gentlemens-game/121/category/52/display/1/,2PM,14.82,18.3,True,2022-11-14
66,7th Album MUST (LP Ver.),/product/7th-album-must-lp-ver/242/category/52/display/1/,2PM,63.91,78.9,True,2022-11-14
67,4th Album GO CRAZY! [Grand Edition],/product/4th-album-go-crazy-grand-edition/130/category/52/display/1/,2PM,32.72,40.4,True,2022-11-14
68,6th Album GENTLEMEN’S GAME(LP Ver.),/product/6th-album-gentlemens-gamelp-ver/119/category/52/display/1/,2PM,35.64,44.0,True,2022-11-14
69,Stray Kids Mini Album MAXIDENT (CASE ver.),/product/stray-kids-mini-album-maxident-case-ver/842/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14
70,"Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",/product/stray-kids-mini-album-maxident-t-crush-ver-heart-ver/737/category/59/display/1/,Stray Kids,16.36,20.2,False,2022-11-14
71,Mixtape,/product/mixtape/111/category/59/display/1/,Stray Kids,12.64,15.6,False,2022-11-14
72,I am NOT,/product/i-am-not/109/category/59/display/1/,Stray Kids,12.64,15.6,False,2022-11-14
73,I am WHO,/product/i-am-who/106/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
74,I am YOU,/product/i-am-you/105/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
75,Cle 1 : MIROH,/product/cle-1-miroh/100/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
76,Cle 2 : Yellow Wood,/product/cle-2-yellow-wood/98/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
77,Stray Kids - Cle : LEVANTER,/product/stray-kids-cle-levanter/94/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
78,1st Album GO生,/product/1st-album-go生/92/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14
79,1st Album Repackage IN生(IN LIFE),/product/1st-album-repackage-in生in-life/89/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14
80,Stray Kids 2nd Album NOEASY,/product/stray-kids-2nd-album-noeasy/70/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14
81,Stray Kids 2nd Album NOEASY (Jewel Case Ver.),/product/stray-kids-2nd-album-noeasy-jewel-case-ver/69/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14
82,Holiday Special Single Christmas EveL,/product/holiday-special-single-christmas-evel/65/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
83,Mini Album ODDINARY,/product/mini-album-oddinary/64/category/59/display/1/,Stray Kids,16.36,20.2,False,2022-11-14
84,Mini Album ODDINARY (Jewel Case Ver.),/product/mini-album-oddinary-jewel-case-ver/63/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14
85,"[VIDEO CALL EVENT] Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",/product/video-call-event-stray-kids-mini-album-maxident-t-crush-ver-heart-ver/839/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14
86,"[FAN SIGN EVENT] Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",/product/fan-sign-event-stray-kids-mini-album-maxident-t-crush-ver-heart-ver/838/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14
87,Stray Kids Mini Album MAXIDENT (GO ver.),/product/stray-kids-mini-album-maxident-go-ver/738/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14
88,Special Album 77-1X3-00,/product/special-album-77-1x3-00/118/category/421/display/1/,JUN. K,14.82,18.3,False,2022-11-14
89,2nd Mini Album My 20's,/product/2nd-mini-album-my-20s/113/category/421/display/1/,JUN. K,16.36,20.2,False,2022-11-14
90,1st Mini Album Mr. NO♡,/product/1st-mini-album-mr-no/124/category/421/display/1/,JUN. K,13.36,16.5,True,2022-11-14
91,3rd Mini Album 20mins,/product/3rd-mini-album-20mins/87/category/421/display/1/,JUN. K,16.36,20.2,True,2022-11-14
92,Love & Hate,/product/love-hate/133/category/421/display/1/,JUN. K,11.91,14.7,True,2022-11-14
93,1st Mini Album ME,/product/1st-mini-album-me/101/category/444/display/1/,NICHKHUN,17.82,22.0,True,2022-11-14
94,R.O.S.E,/product/rose/129/category/449/display/1/,WOOYOUNG,11.91,14.7,True,2022-11-14
95,2nd Mini Album BYE,/product/2nd-mini-album-bye/110/category/449/display/1/,WOOYOUNG,16.36,20.2,True,2022-11-14
96,1st Album FEEL,/product/1st-album-feel/132/category/463/display/1/,JUNHO,13.36,16.5,False,2022-11-14
97,Best Album One,/product/best-album-one/127/category/463/display/1/,JUNHO,14.82,18.3,False,2022-11-14
98,1st Mini Album CANVAS,/product/1st-mini-album-canvas/115/category/463/display/1/,JUNHO,14.82,18.3,False,2022-11-14
99,Album TWO,/product/album-two/102/category/463/display/1/,JUNHO,15.63,19.3,False,2022-11-14
